,price,room_bed,room_bath,lot_measure,ceil,coast,condition,quality,ceil_measure,basement,yr_built,zipcode,lat,long,furnished,yr_sold,age_sold,Have_basement,renovation_in_15to20_Years,renovation_in_10to15_Years,renovation_in_5to10_Years,renovation_in_0to5_Years
24,595000,2,2.0,4000,1.0,0,4,7,1010,500,1900,98103,47.6582,-122.345,0,2014,114,1,0,0,0,0
25,338000,4,3.0,7500,1.0,0,3,7,1370,720,1986,98056,47.4888,-122.182,0,2014,28,1,0,0,0,0
26,500000,3,2.0,1156,3.0,0,3,8,1560,0,2014,98122,47.605,-122.304,0,2014,0,0,0,0,0,0
27,834000,4,2.5,4000,1.5,0,5,8,1980,390,1928,98144,47.601000000000006,-122.294,0,2015,87,1,0,0,0,0
28,1450000,3,2.75,9671,1.0,0,5,9,2140,1800,1967,98006,47.5654,-122.15799999999999,1,2014,47,1,0,0,0,0
29,432000,4,1.75,8400,1.0,0,3,7,1600,810,1978,98011,47.7341,-122.2,0,2014,36,1,0,0,0,0
30,1100000,4,4.0,8899,2.0,0,3,10,2940,830,2006,98074,47.6476,-122.079,1,2014,8,1,0,0,0,0
31,325000,3,1.5,7936,1.0,0,3,7,1590,0,1956,98106,47.5201,-122.366,0,2015,59,0,0,0,0,0
32,460000,3,1.75,7700,1.0,0,3,7,820,700,1969,98034,47.7226,-122.219,0,2015,46,1,0,0,0,0
33,1570000,5,4.5,14731,2.0,0,3,11,6070,0,2004,98059,47.5306,-122.134,1,2014,10,0,0,0,0,0
34,415000,4,2.5,6499,2.0,0,3,9,2891,0,2014,98001,47.3359,-122.257,1,2014,0,0,0,0,0,0
35,905000,4,2.25,5000,2.0,0,3,8,1770,470,1900,98122,47.6027,-122.295,0,2015,115,1,0,0,0,1
36,759950,3,2.5,23790,2.0,0,3,9,3100,0,2002,98075,47.5882,-122.01100000000001,1,2014,12,0,0,0,0,0
37,600000,2,2.0,5000,1.0,0,3,6,1270,0,1944,98107,47.6729,-122.363,0,2015,71,0,0,0,0,0
38,282900,4,2.5,3500,2.0,0,3,7,1710,0,2014,98002,47.3448,-122.21700000000001,0,2014,0,0,0,0,0,0
39,272000,3,2.0,5700,1.0,0,5,7,1200,0,1942,98178,47.5031,-122.242,0,2014,72,0,0,0,0,0
40,243800,3,1.0,27760,1.0,0,4,6,1140,0,1981,98027,47.5372,-121.97200000000001,0,2014,33,0,0,0,0,0
41,448000,3,3.25,1345,2.0,0,3,8,1260,300,2009,98126,47.5637,-122.375,0,2015,6,1,0,0,0,0
42,350000,4,2.75,3175,1.5,0,3,6,1340,960,1966,98144,47.5732,-122.305,0,2014,48,1,0,0,0,0
43,255000,3,2.5,6200,2.0,0,3,7,1720,0,2014,98022,47.2137,-121.98899999999999,0,2015,1,0,0,0,0,0
44,384000,5,2.75,8160,2.0,0,3,9,3220,0,1999,98001,47.3154,-122.25399999999999,1,2014,15,0,0,0,0,0
45,129000,2,1.0,30184,1.0,0,3,6,1150,0,1950,98055,47.4492,-122.2,0,2014,64,0,0,0,0,0
46,469000,4,2.75,13938,1.0,0,5,8,2100,1450,1966,98188,47.425,-122.28299999999999,0,2015,49,1,0,0,0,0
47,100000,2,1.0,17334,1.0,0,3,7,770,0,1978,98001,47.2997,-122.26899999999999,0,2014,36,0,0,0,0,0
48,265000,3,1.5,7100,1.0,0,3,6,1290,0,1954,98198,47.4227,-122.33200000000001,0,2014,60,0,0,0,0,0
49,277500,3,2.5,4558,2.0,0,3,7,2620,0,2010,98022,47.1944,-121.97399999999999,0,2014,4,0,0,0,0,0
50,1660000,4,2.75,19200,1.0,1,4,9,1950,1570,1951,98136,47.525,-122.39299999999999,1,2014,63,1,0,0,0,0
51,592500,4,2.5,35150,1.0,0,5,8,1770,1600,1993,98027,47.461000000000006,-122.00200000000001,0,2014,21,1,0,0,0,0
52,385000,4,2.5,5280,2.0,0,4,7,1620,0,1924,98146,47.5132,-122.384,0,2014,90,0,0,0,0,0
53,329000,4,2.5,6765,1.0,0,3,7,830,770,1947,98106,47.5469,-122.365,0,2014,67,1,0,0,0,1
54,720000,3,2.0,5200,1.0,0,3,7,1320,270,1939,98103,47.6864,-122.34100000000001,0,2015,76,1,0,0,0,0
55,680000,3,1.75,8400,1.0,0,4,8,1460,300,1960,98136,47.5355,-122.39,0,2014,54,1,0,0,0,0
56,260000,4,2.5,4358,2.0,0,3,7,1790,0,1993,98031,47.3994,-122.204,0,2014,21,0,0,0,0,0
57,684680,4,2.25,9360,2.0,0,4,8,2370,0,1979,98052,47.6518,-122.12299999999999,0,2014,35,0,0,0,0,0
58,510000,3,2.0,266151,1.5,0,3,7,2350,0,1983,98014,47.6609,-121.89200000000001,0,2014,31,0,0,0,0,0
59,374000,2,1.0,5650,1.0,0,3,6,980,160,1920,98116,47.5634,-122.391,0,2014,94,1,0,0,0,0
60,221900,2,1.0,6727,1.0,0,3,6,780,0,1939,98168,47.4733,-122.281,0,2014,75,0,0,0,0,0
61,1450000,3,4.5,24920,2.0,0,3,10,3260,710,1977,98034,47.7183,-122.258,1,2015,38,1,1,0,0,0
62,645000,4,2.0,11583,1.0,0,3,8,1190,1590,1955,98125,47.7293,-122.28399999999999,0,2015,60,1,0,0,0,0
63,224000,3,1.75,11968,1.0,0,3,6,1500,0,2014,98010,47.3095,-122.00200000000001,0,2014,0,0,0,0,0,0
64,675000,4,2.5,9679,2.0,0,3,8,2370,0,1984,98027,47.5631,-122.085,0,2015,31,0,0,0,0,0
65,323000,3,2.5,6560,2.0,0,3,7,1890,0,2003,98038,47.3684,-122.031,0,2015,12,0,0,0,0,0
66,630100,4,2.75,11356,1.0,0,5,7,1160,750,1977,98033,47.6999,-122.2,0,2015,38,1,0,0,0,0
67,673000,4,2.25,8190,2.0,0,4,8,2590,0,1980,98006,47.5619,-122.125,0,2014,34,0,0,0,0,0
68,471000,3,1.75,10123,1.0,0,3,8,1340,300,1977,98011,47.7698,-122.167,0,2015,38,1,0,0,0,0
69,399950,3,1.5,5244,1.0,0,3,7,1190,890,1959,98125,47.7144,-122.29299999999999,0,2014,55,1,0,0,0,0
70,429950,4,2.5,4524,2.0,0,3,8,2320,0,2004,98059,47.4798,-122.13600000000001,0,2014,10,0,0,0,0,0
71,575000,2,1.0,2726,1.5,0,3,7,880,350,1920,98117,47.6815,-122.359,0,2014,94,1,0,0,0,0
72,630000,3,2.5,32772,2.0,0,3,9,2320,0,1992,98053,47.6304,-121.988,1,2014,22,0,0,0,0,0
73,778000,3,2.25,33080,1.0,0,5,9,1690,570,1974,98005,47.6386,-122.18299999999999,1,2014,40,1,0,0,0,0
74,775000,4,2.75,6200,1.5,0,4,8,1820,920,1947,98125,47.7084,-122.277,0,2014,67,1,0,0,0,0
75,380000,4,2.5,4981,2.0,0,3,9,2420,0,2009,98038,47.3785,-122.023,1,2015,6,0,0,0,0,0
76,249500,2,1.0,4500,1.0,0,3,6,900,0,1951,98055,47.4881,-122.204,0,2015,64,0,0,0,0,0
77,398950,4,3.0,10297,2.0,0,3,8,3000,0,2003,98042,47.3684,-122.073,0,2014,11,0,0,0,0,0
78,612000,3,3.0,10327,1.0,0,3,9,2330,0,1998,98034,47.7239,-122.164,1,2014,16,0,0,0,0,0
79,294000,4,2.25,3746,2.0,0,3,8,2190,0,2005,98038,47.3896,-122.03399999999999,0,2014,9,0,0,0,0,0
80,287500,3,2.0,7147,1.0,0,4,6,880,880,1936,98055,47.4799,-122.23200000000001,0,2015,79,1,0,0,0,0
81,379900,4,2.5,5831,2.0,0,3,8,3181,0,2014,98003,47.2716,-122.29700000000001,0,2015,1,0,0,0,0,0
82,529900,5,2.25,9430,2.0,0,4,8,2600,430,1961,98133,47.7515,-122.353,0,2014,53,1,0,0,0,0
83,325000,3,1.75,7171,1.0,0,4,7,1010,0,1967,98034,47.7317,-122.23100000000001,0,2014,47,0,0,0,0,0
84,605000,3,2.5,18600,2.0,0,3,8,2960,0,1979,98166,47.4358,-122.344,0,2014,35,0,0,0,0,0
85,215000,3,1.75,10016,1.0,0,4,7,1280,0,1975,98003,47.2823,-122.333,0,2014,39,0,0,0,0,0
86,270000,3,2.5,1189,2.0,0,3,7,1080,270,2007,98106,47.5218,-122.35799999999999,0,2015,8,1,0,0,0,0
87,325000,3,2.5,9825,1.0,0,4,7,1250,620,1994,98045,47.4639,-121.744,0,2014,20,1,0,0,0,0
88,574000,4,2.5,22795,2.0,0,3,8,3240,0,1998,98053,47.6329,-121.969,0,2014,16,0,0,0,0,0
89,496000,2,1.0,9260,1.0,0,3,7,900,0,1946,98107,47.6695,-122.36,0,2014,68,0,0,0,0,0
90,537000,3,1.75,10050,1.0,0,5,7,1550,0,1957,98008,47.6345,-122.12299999999999,0,2015,58,0,0,0,0,0
91,794500,5,3.0,4120,1.5,0,4,7,1930,1100,1913,98115,47.6771,-122.319,0,2015,102,1,0,0,0,0
92,536500,4,1.75,4000,1.5,0,5,7,1450,550,1926,98126,47.5659,-122.375,0,2014,88,1,0,0,0,0
93,497500,5,1.5,8610,1.0,0,4,7,1230,940,1959,98008,47.6111,-122.126,0,2014,55,1,0,0,0,0
94,635000,4,2.5,10215,2.0,0,3,9,2500,0,1998,98075,47.5912,-121.986,1,2015,17,0,0,0,0,0
95,454000,3,1.0,22144,1.0,0,4,7,1970,0,1970,98065,47.5234,-121.84100000000001,0,2014,44,0,0,0,0,0
96,620000,4,3.0,6325,1.0,0,5,7,1440,690,1948,98116,47.5683,-122.396,0,2014,66,1,0,0,0,0
97,415000,3,1.75,8000,1.0,0,3,7,1070,0,1977,98052,47.6978,-122.13,0,2014,37,0,0,0,0,0
98,1110000,5,3.25,4000,2.0,0,4,8,2510,840,1997,98105,47.6645,-122.291,0,2014,17,1,0,0,0,0
99,417400,3,3.0,12285,1.0,0,4,8,2680,0,1970,98055,47.4633,-122.196,0,2014,44,0,0,0,0,0
100,525000,3,2.0,16530,1.0,0,5,7,1600,0,1967,98075,47.5821,-122.016,0,2014,47,0,0,0,0,0
101,461500,5,3.25,3275,2.0,0,3,8,2230,590,2006,98118,47.5339,-122.28399999999999,0,2015,9,1,0,0,0,0
102,409950,3,1.75,6030,1.0,0,4,7,1320,0,1969,98052,47.6993,-122.13,0,2014,45,0,0,0,0,0
103,242000,2,1.0,21850,1.0,0,3,6,960,0,1947,98032,47.4122,-122.26700000000001,0,2014,67,0,0,0,0,0
104,600000,3,2.5,43995,2.0,0,3,9,2680,0,1986,98077,47.7655,-122.086,1,2014,28,0,0,0,0,0
105,900000,4,3.0,217800,2.0,0,3,9,3810,0,2003,98077,47.7696,-122.021,1,2015,12,0,0,0,0,0
106,767500,6,3.5,6000,2.0,0,3,9,2220,190,1916,98136,47.54,-122.382,1,2014,98,1,0,0,0,0
107,469775,2,1.75,7020,1.0,0,3,7,1030,500,1942,98199,47.6465,-122.395,0,2014,72,1,0,0,0,0
108,205000,3,1.0,8342,1.0,0,4,7,1120,0,1976,98042,47.3732,-122.116,0,2015,39,0,0,0,0,0
109,672000,3,1.0,8573,1.0,0,4,7,1220,0,1954,98004,47.6088,-122.193,0,2014,60,0,0,0,0,0
110,275000,2,1.0,5000,1.0,0,3,6,940,0,1951,98126,47.5186,-122.374,0,2014,63,0,0,0,0,0
111,385000,4,1.75,4980,1.0,0,4,7,860,760,1947,98133,47.7025,-122.34100000000001,0,2014,67,1,0,0,0,0
112,1200000,5,2.75,13297,2.0,0,5,9,2750,900,1969,98040,47.5497,-122.228,1,2014,45,1,0,0,0,0
113,691500,4,2.5,7200,2.0,0,3,7,2600,0,1962,98115,47.6944,-122.274,0,2014,52,0,0,1,0,0
114,690000,4,2.0,5000,1.5,0,4,7,1510,720,1922,98144,47.5772,-122.292,0,2014,92,1,0,0,0,0
115,360000,3,1.5,1110,2.0,0,3,7,1040,300,1999,98117,47.698,-122.366,0,2014,15,1,0,0,0,0
116,220000,3,1.5,9331,1.0,0,3,6,1070,0,1956,98155,47.7633,-122.31299999999999,0,2014,58,0,0,0,0,0
117,630000,4,1.75,10210,1.5,0,3,8,1670,260,1941,98125,47.7078,-122.277,0,2014,73,1,0,0,0,0
118,232000,3,1.75,6604,1.0,0,3,7,1290,0,1984,98023,47.323,-122.34899999999999,0,2014,30,0,0,0,0,0
119,330000,2,1.0,4000,1.0,0,3,6,780,100,1937,98117,47.6931,-122.37899999999999,0,2014,77,1,0,0,0,0
120,320000,4,2.5,9653,1.0,0,3,7,1500,630,1978,98031,47.4068,-122.175,0,2015,37,1,0,0,0,0
121,1280000,6,5.25,27490,2.0,0,3,11,4040,2120,2007,98074,47.6094,-122.023,1,2014,7,1,0,0,0,0
122,498000,3,2.5,4136,2.0,0,3,8,2480,0,2009,98059,47.493,-122.147,0,2014,5,0,0,0,0,0
123,115000,2,1.0,16524,1.0,0,3,5,1000,0,1913,98001,47.2841,-122.255,0,2014,101,0,0,0,0,0
124,300000,4,2.5,5195,2.0,0,3,7,2090,0,2007,98031,47.3986,-122.166,0,2014,7,0,0,0,0,0
125,2300000,4,4.75,9778,2.0,0,4,11,3390,580,1928,98119,47.6312,-122.366,1,2014,86,1,0,0,0,0
126,750000,3,2.25,5301,2.0,0,4,8,1510,740,1975,98115,47.6741,-122.271,0,2014,39,1,0,0,0,0
127,499950,3,3.5,1991,2.0,0,3,8,1430,390,2014,98144,47.596000000000004,-122.29799999999999,0,2014,0,1,0,0,0,0
128,350000,4,1.75,6930,1.0,0,4,7,1320,500,1952,98178,47.5053,-122.242,0,2014,62,1,0,0,0,0
129,855000,5,3.25,5669,2.0,0,3,9,2620,800,2003,98027,47.5366,-122.06700000000001,1,2014,11,1,0,0,0,0
130,699000,3,1.75,5375,1.0,0,3,7,1270,400,1952,98199,47.6416,-122.397,0,2014,62,1,0,0,0,0
131,500000,3,1.75,8530,1.0,0,4,7,1190,380,1983,98033,47.6881,-122.184,0,2014,31,1,0,0,0,0
132,310000,3,1.75,9120,1.0,0,5,7,1490,0,1959,98059,47.4806,-122.163,0,2014,55,0,0,0,0,0
133,740000,3,2.5,9350,2.0,0,4,9,2960,0,1978,98008,47.6218,-122.094,1,2014,36,0,0,0,0,0
134,430000,3,2.5,6699,2.0,0,3,7,2360,0,2003,98065,47.5317,-121.853,0,2014,11,0,0,0,0,0
135,339950,3,1.0,5402,1.5,0,4,7,1050,0,1906,98144,47.5867,-122.311,0,2014,108,0,0,0,0,0
136,514000,3,1.5,9964,1.0,0,3,7,1080,530,1977,98052,47.6681,-122.14299999999999,0,2015,38,1,0,0,0,0
137,665000,4,2.75,7102,1.0,0,5,7,1670,750,1946,98177,47.7042,-122.37100000000001,0,2014,68,1,0,0,0,0
138,375000,5,1.75,7560,1.0,0,3,7,1230,1000,1959,98178,47.5055,-122.26,0,2015,56,1,0,0,0,0
139,750000,5,2.75,12408,1.0,0,3,10,1740,1590,1976,98074,47.6318,-122.05799999999999,1,2015,39,1,0,0,0,0
140,630000,4,2.5,26720,2.0,0,3,8,2290,0,1977,98177,47.7502,-122.374,0,2014,37,0,0,0,0,0
141,465000,2,2.75,1425,2.0,0,3,7,995,435,2006,98112,47.621,-122.29799999999999,0,2014,8,1,0,0,0,0
142,580000,6,1.75,4000,1.5,0,4,7,1380,800,1926,98105,47.6643,-122.29,0,2014,88,1,0,0,0,0
143,450000,3,2.5,426452,2.0,0,3,7,2880,0,1979,98092,47.2485,-122.101,0,2015,36,0,0,0,0,0
144,800000,3,2.75,4000,2.0,0,3,8,1700,520,1914,98122,47.617,-122.291,0,2014,100,1,0,1,0,0
145,410000,3,1.0,5060,1.0,0,4,7,910,500,1956,98133,47.7073,-122.34,0,2014,58,1,0,0,0,0
146,827000,3,2.5,1330,2.5,0,3,9,1560,290,2004,98115,47.6831,-122.325,1,2015,11,1,0,0,0,0
147,447000,2,1.0,2700,1.0,0,5,6,850,0,1924,98105,47.6684,-122.316,0,2014,90,0,0,0,0,0
148,169950,3,1.0,9832,1.0,0,3,7,1180,0,1970,98042,47.3845,-122.085,0,2014,44,0,0,0,0,0
149,710000,4,3.5,2910,2.0,0,3,8,1970,880,1905,98115,47.6855,-122.321,0,2015,110,1,1,0,0,0
150,594000,4,2.75,4613,2.0,0,3,9,2720,0,2005,98028,47.7352,-122.223,1,2014,9,0,0,0,0,0
151,428000,3,2.25,15000,2.0,0,3,9,2600,0,1978,98038,47.3719,-122.056,1,2015,37,0,0,0,0,0
152,486000,4,3.0,7336,2.0,0,4,7,2260,0,1977,98034,47.7297,-122.219,0,2015,38,0,0,0,0,0
153,345000,3,2.5,8414,1.0,0,3,7,1280,1060,1993,98188,47.4685,-122.265,0,2015,22,1,0,0,0,0
154,460000,3,2.0,29136,2.0,0,3,8,2240,690,1990,98010,47.3102,-122.042,0,2015,25,1,0,0,0,0
155,330000,3,1.0,9136,1.0,0,3,7,1570,0,1953,98133,47.7688,-122.337,0,2014,61,0,0,0,0,0
156,802000,4,2.25,8734,2.0,0,4,8,2130,0,1961,98006,47.5672,-122.161,0,2014,53,0,0,0,0,0
157,550000,3,1.75,9401,1.0,0,3,8,1840,0,1971,98075,47.5847,-122.075,0,2014,43,0,0,0,0,0
158,762500,5,3.5,5880,2.0,0,3,9,2670,620,2005,98052,47.7067,-122.119,1,2015,10,1,0,0,0,0
159,620000,4,2.25,4300,1.5,0,3,7,1350,540,1918,98103,47.6649,-122.337,0,2015,97,1,0,0,0,0
160,635000,3,1.75,4400,1.5,0,4,8,1210,0,1930,98105,47.6621,-122.288,0,2015,85,0,0,0,0,0
161,630000,6,3.0,9328,2.0,0,3,8,2470,0,1982,98007,47.6025,-122.15299999999999,0,2014,32,0,0,0,0,0
162,650000,4,2.75,16532,1.0,0,4,7,1420,490,1940,98117,47.6952,-122.39,0,2014,74,1,0,0,0,0
163,425000,3,1.0,5864,1.0,0,3,7,1010,0,1915,98116,47.5733,-122.381,0,2015,100,0,0,0,0,0
164,451000,2,1.0,6000,1.0,0,3,7,900,0,1944,98115,47.6855,-122.289,0,2014,70,0,0,0,1,0
165,450000,3,1.75,6800,1.5,0,4,7,1740,0,1949,98126,47.5314,-122.37299999999999,0,2014,65,0,0,0,0,0
166,571000,4,1.0,4000,1.5,0,3,8,1350,0,1930,98117,47.6885,-122.38600000000001,0,2014,84,0,0,0,0,0
167,346300,4,2.5,11018,2.0,0,3,8,2590,0,1998,98092,47.2634,-122.211,0,2015,17,0,0,0,0,0
168,500000,4,2.0,12620,1.0,0,4,7,2100,0,1972,98034,47.7239,-122.17299999999999,0,2014,42,0,0,0,0,0
169,825000,3,2.5,5260,2.0,0,3,9,3230,530,2002,98029,47.5489,-122.007,1,2014,12,1,0,0,0,0
170,399950,3,1.75,15001,1.0,0,3,7,1980,470,1989,98014,47.6957,-121.913,0,2014,25,1,0,0,0,0
171,725000,3,3.5,8837,2.0,0,3,10,3690,0,2001,98065,47.5402,-121.876,1,2014,13,0,0,0,0,0
172,299900,3,2.25,35026,1.0,0,3,7,1290,270,1985,98092,47.3023,-122.069,0,2015,30,1,0,0,0,0
173,395000,3,3.5,1263,2.0,0,3,8,1160,290,2007,98199,47.6508,-122.383,0,2014,7,1,0,0,0,0
174,135000,1,1.0,13062,1.0,0,3,6,790,0,1942,98168,47.4919,-122.311,0,2014,72,0,0,0,0,0
175,525000,4,1.75,7400,1.0,0,3,7,1210,390,1973,98125,47.7111,-122.309,0,2015,42,1,0,0,0,0
176,340000,3,2.0,14992,1.0,0,3,8,1570,0,2001,98014,47.6965,-121.92200000000001,0,2014,13,0,0,0,0,0
177,275000,2,1.5,32175,1.0,0,4,7,1270,0,1947,98003,47.3347,-122.304,0,2015,68,0,0,0,0,0
178,870000,4,4.25,4887,2.0,0,4,10,1940,1070,1951,98115,47.6933,-122.272,1,2014,63,1,1,0,0,0
179,730000,3,1.75,5000,1.5,0,4,8,1650,0,1900,98107,47.6743,-122.37100000000001,0,2015,115,0,0,0,0,0
180,480000,2,1.0,4800,1.0,0,2,6,710,0,1950,98112,47.6212,-122.29799999999999,0,2015,65,0,0,0,0,0
181,435000,3,2.0,2500,1.0,0,3,7,750,630,1986,98107,47.6753,-122.363,0,2014,28,1,0,0,0,0
182,1400000,3,2.5,10044,2.0,0,4,10,2910,0,1989,98004,47.5845,-122.199,1,2015,26,0,0,0,0,0
183,939000,4,2.25,9684,2.0,0,4,9,2240,0,1970,98040,47.5489,-122.225,1,2015,45,0,0,0,0,0
184,435010,3,1.0,4000,1.0,0,3,7,1120,150,1954,98106,47.5293,-122.354,0,2015,61,1,0,0,0,0
185,607010,4,2.5,4000,2.0,0,3,8,1700,480,2002,98118,47.5553,-122.26899999999999,0,2014,12,1,0,0,0,0
186,608000,4,2.5,4736,2.0,0,3,7,2690,0,2001,98053,47.6869,-122.036,0,2014,13,0,0,0,0,0
187,214950,3,1.0,6600,1.0,0,3,6,1280,120,1954,98168,47.4845,-122.331,0,2014,60,1,0,0,0,0
188,305000,2,1.0,3383,2.0,0,3,7,1290,0,2008,98053,47.6968,-122.025,0,2015,7,0,0,0,0,0
189,408000,2,2.0,3900,1.0,0,3,8,1200,0,2006,98053,47.72,-122.024,0,2015,9,0,0,0,0,0
190,286950,4,2.5,9846,1.0,0,3,7,1240,840,1984,98001,47.3338,-122.26799999999999,0,2015,31,1,0,0,0,0
191,575000,3,1.75,11750,1.0,0,4,7,1180,400,1951,98118,47.5368,-122.265,0,2014,63,1,0,0,0,0
192,261500,3,1.0,8174,1.0,0,3,8,1410,0,1958,98056,47.4969,-122.178,0,2015,57,0,0,0,0,0
193,158000,3,2.0,6090,1.0,0,3,7,940,150,1940,98118,47.5118,-122.259,0,2015,75,1,0,0,0,0
194,957000,4,3.0,3836,2.0,0,3,9,1750,620,1969,98107,47.6718,-122.39399999999999,1,2014,45,1,0,0,1,0
195,345000,3,2.5,5992,2.0,0,3,7,1620,0,2001,98019,47.736000000000004,-121.965,0,2014,13,0,0,0,0,0
196,617450,3,2.0,14398,1.0,0,3,7,1080,500,1981,98005,47.6328,-122.17399999999999,0,2015,34,1,0,0,0,0
197,1670000,5,3.5,40816,2.0,0,4,11,4320,0,1997,98004,47.644,-122.185,1,2015,18,0,0,0,0,0
198,345000,3,2.5,3584,2.0,0,3,8,1870,0,2003,98058,47.4521,-122.12100000000001,0,2014,11,0,0,0,0,0
199,250000,3,1.75,7560,1.0,0,3,7,1130,460,1984,98031,47.4016,-122.18,0,2014,30,1,0,0,0,0
200,510000,4,1.5,14250,1.0,0,4,7,1320,0,1954,98033,47.7016,-122.199,0,2014,60,0,0,0,0,0
201,520000,3,2.25,9263,1.0,0,5,8,1440,1150,1977,98028,47.7691,-122.262,0,2014,37,1,0,0,0,0
202,340000,3,1.75,8136,1.0,0,3,7,980,980,1948,98106,47.5208,-122.36399999999999,0,2014,66,1,0,0,0,0
203,650000,3,2.5,4363,2.0,0,3,9,1910,0,2006,98029,47.5482,-121.99600000000001,1,2014,8,0,0,0,0,0
204,300000,3,1.0,20812,1.0,0,3,6,1300,0,1927,98106,47.5435,-122.359,0,2014,87,0,0,0,0,0
205,212000,3,1.75,7875,1.0,0,4,7,1060,0,1986,98092,47.2761,-122.152,0,2015,29,0,0,0,0,0
206,222000,2,1.0,38449,1.0,0,3,6,1550,0,1947,98055,47.4315,-122.199,0,2015,68,0,0,0,0,0
207,305000,3,1.0,5350,1.0,0,3,7,1030,0,1924,98055,47.4905,-122.206,0,2014,90,0,0,0,0,1
208,643500,3,2.0,7104,2.0,0,3,8,1650,0,1945,98177,47.7053,-122.374,0,2014,69,0,0,0,0,0
209,410000,3,1.0,7020,1.0,0,3,7,1090,140,1924,98116,47.5719,-122.39,0,2014,90,1,0,0,0,0
210,420000,2,1.0,5375,1.0,0,3,7,1000,0,1953,98118,47.5404,-122.26799999999999,0,2015,62,0,0,0,0,0
211,308000,4,2.25,12243,2.0,0,3,8,1960,0,1989,98042,47.3405,-122.05799999999999,0,2014,25,0,0,0,0,0
212,428000,2,2.0,4225,1.0,0,3,8,1350,0,2003,98053,47.7106,-122.03,0,2014,11,0,0,0,0,0
213,357500,3,1.75,9403,1.0,0,3,7,1630,0,1983,98155,47.757,-122.316,0,2014,31,0,0,0,0,0
214,305000,3,2.25,7665,1.0,0,4,7,1360,750,1973,98023,47.3082,-122.37200000000001,0,2014,41,1,0,0,0,0
215,649000,3,2.0,1442,3.0,0,3,9,1530,0,2015,98107,47.6692,-122.37200000000001,1,2015,0,0,0,0,0,0
216,835000,5,4.0,14720,1.0,0,5,8,1800,1800,1960,98034,47.7022,-122.227,0,2014,54,1,0,0,0,0
